id,keyword,location,text
1,,,"syllabus course title and number information storage and retrieval , csce470 term spring 2022 meeting times and location 8-9:15 am, tu/th, hrbb 124 course description and prerequisites this course will introduce the key concepts , models, algorithms and techniques at the core of modern text-based search systems"
2,,,"the topics covered in this course includ e efficient text indexing, boolean, vector space and probabilistic retrieval models, retrieval evaluation, relevance feedback, docu ment classification, learning to rank, document clustering and link analysis"
3,,,the students will have an opportunity to implement key retrieval models on top of an open -source search engine system
4,,,prerequisites: csce 315 and junior or senior standing; or approval of the instructor
5,,,"in addition, students should have had some exposure to basic probability, statistics, data structures and algorithms"
6,,,you should be able to learn new software libraries on your own and design and develop functions on top
7,,,learning outcomes or course objectives the main objective of this course is to equip students with solid theoretical knowledge and enough practical experience to develop and diagnose their own search systems in the future
8,,,"upon successful completion of the course, a student will be able to: • define and explain the key concepts and models relevant to information storage and retrieval"
9,,,"• implement important algorithms, recognize and fix common problems in practice"
10,,,• design and develop his/her own text search systems addressing customized information needs 
11,,,instructor information name ruihong huang telephone number 979-862-2908 email address huangrh@cse.tamu.ed
12,,,"office hours tbd office location online textbook and/or resource material the primary textbook: introduction to information retrieval, christopher d"
13,,,"manning, prabhakar raghavan, and hinrich schutze, cambridge university press"
14,,,2008
15,,,instructor will provide copies of lecture slides and links to resources on the internet
16,,,"gradin g policies the course grading policy is as follows: two programming assignments (30%), four written assignments (20%), class participation (5%), class project (25%) and final exam (20%)"
17,,,"class participation will be measured through attendance in class, submission of assignments and participation in online piazza discussions"
18,,,"the late policy is: for the programming/written homework assignments, you have a total of 5 late days that you can use during the sem ester"
19,,,"however, a single assignment can be submitted up to 2 days late only"
20,,,"for the purposes of the class, a late day is an indivisible 24 -hour unit"
21,,,"once you exhaust your 5 late days, we will not accept any late submissions "
22,,,"grading scale the grading scale is : a: 90 -100, b: 80 -89, c: 70 -79, d: 60 -69, f: 0 -59"
23,,,scores are rounded up
24,,,attendance / make -up work policies the university views class attendance as the responsibility of an individual student
25,,,attendance is essential to complete the course successfully
26,,,university rules related to excused/unexcused absences and make -up work are located on -line at http://student -rules.tamu.edu/rule0
27,,,
