id,keyword,location,text
1,,,"12/16/21, 3:19 pm syllabus: 22 spring csce 222 501: discrete struc computing https://texasam.instructure.com/courses/136448/pages/syllabu"
2,,,"1/9syllabus course information course information course number: csce 222 course t itle: discrete structures for computing section: 501, 502 time: 501: mwf 01:50 pm-02:40 pm, 502: mwf 03:00 pm-03:50 pm location: zach 350 credit hours: 3 instructor details instructor: martin carlisle office: petr 221 phone: 979-862-7928 e-mail: the_doctor@tamu.ed"
3,,,"office hours: will be posted on canvas course description this course provides the mathematical foundations from discrete mathematics for analyzing computer algorithms, for both correctness and performance; introduction to models of computation, including finite state machines and t uring machines"
4,,,"course prerequisites math 151 special course designation 12/16/21, 3:19 pm syllabus: 22 spring csce 222 501: discrete struc computing https://texasam.instructure.com/courses/136448/pages/syllabu"
5,,,"2/9none course learning outcomes at the end of the course, students will understand the basic principles of logic, proofs and sets"
6,,,they will be able to apply results from discrete mathematics to the analysis of algorithms
7,,,they will be able to produce proofs by induction and apply counting techniques
8,,,they will have a basic understanding of models of computation
9,,,"textbook and/or resource materials discrete mathematics and its applications , 8 edition, kenneth h"
10,,,"rosen, mcgraw hill education"
11,,,isbn-13: 978-1259676512 isbn-10: 125967651x canvas: https://canvas.tamu.ed
12,,,(https://canvas.tamu.edu
13,,,assignment t urnin: https://gradescope.co
14,,,(https://gradescope.com
15,,,course videos: https://drive.google.com/drive/folders/1i8
16,,,yxuor69_vsxv-r y8zxpil_i9npbm-? usp=sharing (https://drive.google.com/drive/folders/1i8ryxuor69_vsxv-ry8zxpil_i9npbm-
17,,,usp=sharing) (must use t amu google account to access) latex references (the not so short) introduction to lat ex (http://faculty.cse.tamu.edu/hlee/csce222/lshort.pdf
18,,,(skim chapter 1 and study chapter 3) short math guide for lat ex (http://faculty.cse.tamu.edu/hlee/csce222/downes-short-math
19,,,guide.pdf
20,,,comprehensive lat ex symbol list (http://faculty.cse.tamu.edu/hlee/csce222/latexsymbols
21,,,letter.pdf
22,,,"grading policy quizzes: 25 points each (x10, but only top 8 counted) homeworks: 20 points each (x13, but lowest three dropped)"
23,,,a subset of each homework will be graded for correctness
24,,,the other problems will be graded for completeness only 
25,,,your assignments must be submitted in lat ex (see references above)
26,,,submit assignment to gradescope (https://www .gradescope.com
27,,,"midterm exams: 200 points each (x 2)th 12/16/21, 3:19 pm syllabus: 22 spring csce 222 501: discrete struc computing https://texasam.instructure.com/courses/136448/pages/syllabu"
28,,,3/9final exam: 200 points a >= 900 points b = 800-899 points c = 700-799 points d = 600-699 points f = <600 points regrading policy we will make an ef fort to complete the grading of work within one week of the turnin date
29,,,"if you believe your work was graded incorrectly or incompletely , you must submit a regrade request in gradescope within one week"
30,,,only if you can prove to the grader that your solution is correct and complete will your work be regraded
31,,,late w ork/attendance policy late homeworks are not accepted and are worth 0 points
32,,,work submitted by a student as makeup work for an excused absence is not considered late work and is exempted from the late work policy 
33,,,(see student rule 7 (https://student- rules.tamu.edu/rule07/
34,,,)
35,,,"course schedule week topic required reading 1 (jan 19,21)introduction propositional logicsyllabus 1.1-1."
36,,,"2 (jan 24,26,28)propositional logic (hw 1 due mon) rules of inference, quiz 1 (w eds) proofs1."
37,,,1.
38,,,1.
39,,,"3 (jan 31, feb 2,4) proofs (hw 2 due mon) quiz 2 (w eds)1."
40,,,"12/16/21, 3:19 pm syllabus: 22 spring csce 222 501: discrete struc computing https://texasam.instructure.com/courses/136448/pages/syllabu"
41,,,4/9sets 2.1-2.
42,,,"4 (feb 7,9,1 1)functions (hw 3 due mon) sequences and sums quiz 3 (w eds) cardinality of sets2."
43,,,2.
44,,,2.
45,,,"5 (feb 14,16,18)cardinality of sets (hw 4 due mon) first midterm exam (w ed feb 16) algorithms2."
46,,,(through 2.4
47,,,3.
48,,,"6 (feb 21,23,25)growth of functions (hw 5 due mon) quiz 4 (w eds) complexity of algorithms3."
49,,,3.
50,,,"7 (feb 28, mar 2,4)mathematical induction (hw 6 due mon) quiz 5 (w eds)5.1-5."
51,,,"8 (mar 8,10,12)recursive functions (hw 7 due mon) quiz 6 (w eds) recursive algorithms5."
52,,,5.
53,,,"march 14-18 spring break 9 (mar 21,23,25)counting (hw 8 due mon) quiz 7 (w eds)6.1-6."
54,,,"10 (mar 28, 30, apr1)advanced counting (hw 9 due mon) quiz 8 (w ed)8.1-8."
55,,,"12/16/21, 3:19 pm syllabus: 22 spring csce 222 501: discrete struc computing https://texasam.instructure.com/courses/136448/pages/syllabu"
56,,,"5/911 (apr 4,6,8) crypto math (hw 10 due mon) 2nd midterm exam (w ed apr 6)4.1-4."
57,,,(through 8.4
58,,,"12 (apr 1 1,13) april 15 - no classcrypto math no quiz weds4.1-4."
59,,,"13 (apr 18,20,22)relations (hw 1 1 due mon) quiz 9 (w ed)9.1,9.5-9."
60,,,"14 (apr 25,27,29)finite state machines (hw 12 mon) quiz 10 (w ed) languages and grammars13."
61,,,13.1-13.
62,,,15 (may 2)languages and grammars (hw 13 due mon) last day of class is mon may 213.4
63,,,13.
64,,,"final exam date: (from registrar's website (https://registrar.tamu.edu/courses,-registration,"
65,,,scheduling/final-examination-schedules#6-may9(monday)) )
66,,,"section 501: may 9, 3:30 – 5:30 p.m"
67,,,"section 502: may 9, 10:30 a.m"
68,,,– 12:30 p.m
