id,keyword,location,text
1,,,course syllabus page 1 of 4 course information course number: csce 222 course title: discrete structures for computing section: 203 time: mwf 11:30-12:20 location: zach 350 credit hours: 3 instructor details instructor: sing-hoi sze office: petr 427 phone: 845-5009 e-mail: shsze@cs.tamu.ed
2,,,"office hours: mwf 10-11 petr 427 or on zoom course description provide mathematical foundations from discrete mathematics for analyzing computer algorithms, for both correctness and performance; introduction to models of computation, including finite state machines and turing machines"
3,,,"course prerequisites math 151 course learning outcomes the course will allow students to understand the relationships between logic, proofs and sets, and apply results from discrete mathematics to analysis of algorithms"
4,,,students will be able to produce proofs and apply counting techniques
5,,,they will have a basic understanding of models of computation
6,,,textbook rosen k.h
7,,,discrete mathematics and its applications
8,,,mcgraw-hill
9,,,grading policy 1
10,,,homework assignments (30%): written assignments handed out every one or two weeks
11,,,2
12,,,two midterms (20% each)
13,,,3
14,,,final exam (30%)
15,,,4
16,,,short report on a topic of choice (s/u)
17,,,letter grades will be assigned as follows: course syllabus page 2 of 4 90-100 80-89 70-79 60-69 <60 a b or better c or better d or better f or better late work policy submission of late assignments and scheduling of make-up exams should be arranged before the due date
